"GEOGRAPHIC PROFILE OF EMPLOYMENT AND UNEMPLOYMENT 
2019 ANNUAL AVERAGES 
Table 25.  States: unemployed people by gender, race, Hispanic or Latino ethnicity, and reason for unemployment",,,,,,
Rhode Island,9,5,2,1,2,1
South Carolina,39,20,5,5,11,3
South Dakota,8,3,1,1,3,1
Tennessee,58,28,10,9,17,4
Texas,264,121,33,38,78,27
Utah,22,10,3,4,7,1
Vermont,4,3,1,1,1,(1)-
Virginia,64,33,9,11,15,5
Washington,95,50,21,14,24,7
West Virginia,22,11,4,4,5,1
Wisconsin,53,28,11,7,13,4
Wyoming,6,3,1,1,1,(1)-
,,,,,,
Women,,,,,,
Alabama,35,11,1,9,12,3
Alaska,7,4,1,1,2,(1)-
Arizona,87,35,8,15,31,6
Arkansas,23,8,2,3,11,1
California,362,165,53,38,112,46
Colorado,42,14,3,9,17,2
Connecticut,31,14,2,4,10,4
Delaware,9,6,2,1,2,(1)-
District of Columbia,12,4,1,1,6,1
Florida,159,62,11,25,53,19
Georgia,87,33,5,15,29,10
Hawaii,7,2,1,1,3,1
Idaho,11,5,2,2,3,1
Illinois,118,53,16,16,34,14
Indiana,51,24,8,8,15,4
Iowa,20,8,3,2,8,1
Kansas,20,8,3,4,7,1
Kentucky,34,12,5,4,16,2
Louisiana,53,20,4,7,19,6
Maine,9,4,2,1,4,(1)-
Maryland,57,26,5,6,19,5
Massachusetts,49,22,5,5,16,6
Michigan,91,38,16,10,34,9
Minnesota,39,24,8,2,12,1
Mississippi,36,13,3,2,14,7
Missouri,50,18,9,12,19,2
Montana,9,4,2,2,3,(1)-
Nebraska,15,5,3,3,5,1
Nevada,27,11,3,3,10,2
New Hampshire,9,4,1,1,3,1
New Jersey,74,35,6,4,27,8
New Mexico,21,8,2,4,8,2
New York,166,70,25,15,64,17
North Carolina,97,30,11,15,42,10
North Dakota,4,2,1,1,2,(1)-
Ohio,102,37,11,19,37,9
Oklahoma,31,16,3,5,9,1
Oregon,36,15,5,6,11,4
Pennsylvania,123,62,22,19,33,10
Rhode Island,11,6,2,2,2,1
South Carolina,29,14,2,4,10,1
South Dakota,8,2,1,1,4,1
Tennessee,55,22,6,8,21,5
Texas,225,92,18,31,79,23
Utah,19,9,6,2,7,1
Vermont,4,2,1,(1)-,1,(1)-
Virginia,61,28,8,5,22,6
Washington,72,35,12,8,23,7
West Virginia,17,6,3,3,6,2
Wisconsin,51,25,11,6,17,3
Wyoming,4,2,1,1,2,(1)-
,,,,,,
White,,,,,,
Alabama,38,15,3,10,10,4
Alaska,8,5,3,1,2,(1)-
Arizona,136,55,14,22,46,12
Arkansas,35,17,6,5,11,2
California,564,300,105,55,148,61
Colorado,67,30,6,16,17,3
Connecticut,53,28,8,6,14,5
Delaware,10,6,2,1,1,1
District of Columbia,4,2,1,1,1,(1)-
Florida,211,85,16,36,67,23
Georgia,72,35,5,12,19,6
Hawaii,5,2,1,1,2,(1)-
Idaho,24,12,5,4,6,3
Illinois,164,85,28,22,40,18
Indiana,91,49,16,14,21,7
Iowa,40,24,9,4,10,2
Kansas,36,16,4,8,10,3
Kentucky,76,37,10,10,24,5
Louisiana,44,18,6,5,15,6
Maine,19,8,4,3,6,1
Maryland,64,30,5,9,17,7
Massachusetts,90,48,15,10,24,8
Michigan,142,68,30,20,40,15
Minnesota,80,54,25,5,20,2
Mississippi,25,11,4,3,8,3
Missouri,73,36,14,13,20,5
Montana,16,8,5,4,4,1
Nebraska,28,10,5,5,11,2
Nevada,44,25,7,6,10,3
New Hampshire,18,8,3,2,6,2
New Jersey,107,60,15,5,26,15
New Mexico,34,14,3,5,11,3
New York,251,119,45,23,83,26
North Carolina,125,49,19,18,47,11
North Dakota,7,4,2,1,2,(1)-
Ohio,167,71,26,28,55,13
Oklahoma,40,20,5,7,11,2
Oregon,62,31,10,10,17,4
Pennsylvania,202,98,40,35,51,18
Rhode Island,16,9,3,3,2,1
South Carolina,43,24,5,4,12,3
South Dakota,8,3,2,2,3,(1)-
Tennessee,76,33,10,12,24,7
Texas,354,147,37,53,119,35
Utah,37,17,9,5,13,3
Vermont,7,4,1,1,2,(1)-
Virginia,76,41,14,8,21,6
Washington,133,70,30,16,35,11
West Virginia,34,15,7,6,10,3
Wisconsin,83,43,17,11,23,6
Wyoming,9,4,1,1,3,1
,,,,,,
Black or African American,,,,,,
Alabama,27,10,1,4,9,3
Arizona,13,3,1,3,5,1
Arkansas,12,5,1,2,4,1
California,64,27,5,8,26,3
Connecticut,16,7,(1)-,1,5,3
Delaware,8,5,1,1,2,(1)-
District of Columbia,18,6,1,1,9,2
Florida,101,46,5,19,23,13
Georgia,95,38,6,17,28,13
Illinois,73,40,8,4,25,5
Indiana,18,10,3,2,6,1
Kansas,5,3,1,(1)-,1,(1)-
Kentucky,10,4,(1)-,1,4,1
Louisiana,52,22,3,5,16,9
Maryland,46,20,4,7,18,2
Massachusetts,12,6,1,3,3,1
Michigan,45,19,6,5,15,6
Minnesota,10,2,(1)-,3,4,1
Mississippi,45,19,4,2,15,9
Missouri,18,3,(1)-,6,8,1
Nebraska,4,1,(1)-,1,2,(1)-
Nevada,8,2,(1)-,2,3,1
New Jersey,33,14,2,4,12,3
New York,99,40,6,9,38,12
North Carolina,63,23,3,10,21,8
Ohio,47,19,6,5,17,6
Oklahoma,10,4,(1)-,(1)-,5,1
Pennsylvania,58,27,4,9,18,3
Rhode Island,2,1,(1)-,(1)-,1,(1)-
South Carolina,23,9,1,4,8,2
Tennessee,34,16,6,4,12,2
Texas,99,50,8,13,24,13
Virginia,37,18,2,5,12,2
Washington,6,2,(1)-,2,1,1
West Virginia,2,1,(1)-,(1)-,1,(1)-
Wisconsin,14,9,3,(1)-,3,2
,,,,,,
Asian,,,,,,
Alaska,1,1,(1)-,(1)-,(1)-,(1)-
Arizona,8,2,1,2,3,(1)-
California,106,44,8,16,26,21
Connecticut,1,1,(1)-,(1)-,(1)-,(1)-
District of Columbia,1,(1)-,(1)-,(1)-,(1)-,(1)-
Florida,7,3,(1)-,1,1,2
Georgia,3,1,1,(1)-,1,(1)-
Hawaii,4,2,1,(1)-,2,1
Illinois,12,5,(1)-,3,2,2
Maryland,5,1,(1)-,2,1,1
Massachusetts,4,2,(1)-,1,2,(1)-
Michigan,7,3,1,1,3,1
Minnesota,3,2,1,(1)-,1,(1)-
Nevada,5,2,1,(1)-,3,(1)-
New Jersey,16,8,1,1,3,4
New York,16,8,2,1,4,3
North Carolina,3,2,(1)-,1,1,(1)-
Ohio,6,5,1,(1)-,2,(1)-
Oregon,6,1,(1)-,1,3,1
Pennsylvania,8,4,(1)-,1,2,(1)-
Texas,16,8,4,1,6,1
Virginia,7,2,(1)-,1,(1)-,3
Washington,11,4,(1)-,3,3,2
,,,,,,
Hispanic or Latino ethnicity,,,,,,
Alabama,2,1,(1)-,(1)-,(1)-,(1)-
Alaska,1,(1)-,(1)-,(1)-,(1)-,(1)-
Arizona,63,24,7,9,21,8
Arkansas,3,1,1,1,1,(1)-
California,343,192,77,28,84,39
Colorado,23,11,2,5,5,2
Connecticut,16,8,3,1,5,1
Delaware,1,1,(1)-,(1)-,(1)-,(1)-
District of Columbia,2,1,(1)-,(1)-,1,(1)-
Florida,89,34,4,12,32,10
Georgia,14,4,1,2,6,2
Hawaii,3,1,(1)-,1,1,(1)-
Idaho,5,2,1,1,1,1
Illinois,41,20,7,5,11,5
Indiana,12,5,2,3,3,2
Iowa,5,3,2,1,1,(1)-
Kansas,6,2,(1)-,1,2,1
Kentucky,5,2,1,(1)-,2,(1)-
Louisiana,8,4,2,(1)-,2,2
Maryland,13,4,1,4,3,2
Massachusetts,18,7,2,1,5,4
Michigan,9,5,2,2,1,1
Minnesota,8,5,1,1,3,(1)-
Mississippi,1,(1)-,(1)-,(1)-,(1)-,(1)-
Nebraska,6,2,1,1,2,(1)-
Nevada,16,9,2,1,5,1
New Jersey,32,15,5,2,9,6
New Mexico,23,10,2,3,7,3
New York,83,39,12,5,25,13
North Carolina,31,13,4,2,11,5
Ohio,13,7,4,1,4,(1)-
Oklahoma,9,5,1,1,3,(1)-
Oregon,11,3,2,2,6,(1)-
Pennsylvania,23,10,3,5,5,4
Rhode Island,5,3,1,(1)-,1,1
South Carolina,4,3,1,(1)-,1,(1)-
Tennessee,8,3,1,1,3,1
Texas,208,83,26,29,74,22
Utah,6,3,2,1,2,1
Virginia,18,9,6,(1)-,7,1
Washington,31,17,12,3,8,3
Wisconsin,11,5,2,1,3,2
Wyoming,1,(1)-,(1)-,(1)-,(1)-,(1)-
,,,,,,
Footnotes:,,,,,,
(1) Fewer than 500 people.,,,,,,
"Note: Data for demographic groups are not shown when the labor force base does not meet the BLS publication standard of reliability for the area in question, as determined by the sample size. (See appendix B.) Detailed items may not sum to totals because of rounding. Estimates for the race groups shown in the table (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. In addition, people whose ethnicity is identified as Hispanic or Latino may be of any race and, therefore, are classified by ethnicity as well as by race. Data incorporate updated 2010 census-based population controls.",,,,,,
